date,hour,toplam,ruzgar,jeotermal,rezervuarli,kanalTipi,nehirTipi,copGazi,biyogaz,gunes,biyokutle,diger
2022-01-01T00:00:00+03:00,2022-01-01T00:00:00+03:00,3833.88,1258.16,1271.78,145.72,449.83,7.84,126.12,41.0,0.0,527.93,5.5
2022-01-01T01:00:00+03:00,2022-01-01T01:00:00+03:00,4085.05,1280.96,1273.93,320.16,501.9,8.09,127.63,40.82,0.0,526.09,5.47
2022-01-01T02:00:00+03:00,2022-01-01T02:00:00+03:00,4047.62,1347.61,1275.8,283.37,445.27,8.04,124.96,39.74,0.0,517.38,5.45
2022-01-01T03:00:00+03:00,2022-01-01T03:00:00+03:00,3864.08,1323.4,1279.92,164.6,381.07,7.96,126.32,40.39,0.0,534.97,5.45
2022-01-01T04:00:00+03:00,2022-01-01T04:00:00+03:00,3946.12,1197.82,1282.55,397.11,355.17,6.86,128.02,40.6,0.0,533.03,4.96
2022-01-01T05:00:00+03:00,2022-01-01T05:00:00+03:00,3782.58,1052.09,1281.91,393.82,343.11,7.85,126.97,40.57,0.0,531.3,4.96
2022-01-01T06:00:00+03:00,2022-01-01T06:00:00+03:00,3882.13,1094.41,1285.35,431.49,369.98,7.7,126.74,40.95,2.42,518.14,4.95
2022-01-01T07:00:00+03:00,2022-01-01T07:00:00+03:00,4176.46,1027.83,1283.08,741.73,398.62,21.23,124.5,41.19,14.31,519.11,4.86
2022-01-01T08:00:00+03:00,2022-01-01T08:00:00+03:00,4402.45,968.57,1283.13,915.16,484.42,23.5,126.05,41.03,73.23,482.49,4.87
2022-01-01T09:00:00+03:00,2022-01-01T09:00:00+03:00,4636.8,994.41,1281.43,939.03,516.69,22.36,127.61,41.13,216.47,491.6,6.07
2022-01-01T10:00:00+03:00,2022-01-01T10:00:00+03:00,4680.02,980.01,1274.4,773.03,541.25,19.82,131.9,39.9,414.83,498.19,6.69
2022-01-01T11:00:00+03:00,2022-01-01T11:00:00+03:00,4612.04,882.86,1262.43,695.74,509.83,10.59,129.16,41.12,552.8,520.92,6.59
2022-01-01T12:00:00+03:00,2022-01-01T12:00:00+03:00,4725.11,834.6,1257.5,902.76,492.19,10.53,128.28,36.23,528.45,527.99,6.58
2022-01-01T13:00:00+03:00,2022-01-01T13:00:00+03:00,4660.15,825.63,1259.31,858.98,476.71,7.83,129.85,40.18,529.18,527.61,4.87
2022-01-01T14:00:00+03:00,2022-01-01T14:00:00+03:00,4441.68,749.65,1251.21,836.8,498.17,11.44,128.4,40.09,399.17,522.23,4.52
2022-01-01T15:00:00+03:00,2022-01-01T15:00:00+03:00,4451.32,821.48,1250.03,864.03,485.16,11.07,128.96,40.19,332.06,513.93,4.41
2022-01-01T16:00:00+03:00,2022-01-01T16:00:00+03:00,4175.94,864.14,1250.82,643.91,509.49,7.77,128.34,41.32,179.36,521.43,29.36
2022-01-01T17:00:00+03:00,2022-01-01T17:00:00+03:00,4052.8,847.36,1255.43,661.83,540.67,16.71,127.55,39.56,14.94,518.9,29.85
2022-01-01T18:00:00+03:00,2022-01-01T18:00:00+03:00,4367.01,1047.26,1266.43,719.1,578.11,40.26,129.85,40.16,0.25,515.67,29.92
2022-01-01T19:00:00+03:00,2022-01-01T19:00:00+03:00,4512.63,1226.84,1270.42,628.05,608.43,59.34,128.04,39.93,0.0,521.24,30.34
2022-01-01T20:00:00+03:00,2022-01-01T20:00:00+03:00,4541.36,1410.67,1268.0,440.14,634.84,58.73,128.23,40.69,0.0,531.02,29.04
2022-01-01T21:00:00+03:00,2022-01-01T21:00:00+03:00,4656.59,1601.56,1272.57,369.42,617.07,62.27,129.39,31.13,0.0,543.68,29.5
2022-01-01T22:00:00+03:00,2022-01-01T22:00:00+03:00,4625.6,1812.79,1273.75,241.24,578.22,11.1,127.45,38.37,0.0,537.06,5.62
2022-01-01T23:00:00+03:00,2022-01-01T23:00:00+03:00,4705.01,1929.54,1272.68,226.01,549.74,10.4,127.25,42.51,0.0,541.35,5.53
2022-01-02T00:00:00+03:00,2022-01-02T00:00:00+03:00,4912.46,2101.23,1268.84,350.09,479.48,8.37,125.04,40.55,0.0,533.33,5.53
2022-01-02T01:00:00+03:00,2022-01-02T01:00:00+03:00,5009.81,2267.24,1274.12,344.29,430.86,18.27,125.98,37.06,0.0,506.37,5.62
2022-01-02T02:00:00+03:00,2022-01-02T02:00:00+03:00,5366.24,2511.25,1276.88,357.15,468.55,54.0,126.01,40.83,0.0,525.3,6.27
2022-01-02T03:00:00+03:00,2022-01-02T03:00:00+03:00,5360.12,2581.45,1281.14,382.74,403.98,8.01,125.48,40.36,0.0,530.73,6.23
2022-01-02T04:00:00+03:00,2022-01-02T04:00:00+03:00,5705.28,2721.32,1281.04,570.42,412.01,7.89,127.4,40.14,0.0,538.81,6.25
2022-01-02T05:00:00+03:00,2022-01-02T05:00:00+03:00,5724.41,2771.41,1280.98,530.46,418.67,8.03,125.41,40.34,0.0,543.47,5.64
2022-01-02T06:00:00+03:00,2022-01-02T06:00:00+03:00,5801.23,2733.99,1282.85,616.72,435.9,7.97,125.12,40.53,0.63,551.87,5.65
2022-01-02T07:00:00+03:00,2022-01-02T07:00:00+03:00,6270.53,2747.71,1282.32,1063.68,449.39,19.84,123.21,40.3,4.61,533.84,5.63
2022-01-02T08:00:00+03:00,2022-01-02T08:00:00+03:00,6272.77,2646.13,1276.05,1070.08,527.54,22.41,128.38,39.83,29.14,527.53,5.68
2022-01-02T09:00:00+03:00,2022-01-02T09:00:00+03:00,6168.89,2614.3,1277.87,891.58,554.52,8.03,127.89,40.38,104.98,543.69,5.65
2022-01-02T10:00:00+03:00,2022-01-02T10:00:00+03:00,6126.84,2621.69,1271.3,746.42,574.56,7.89,128.7,40.36,179.37,550.38,6.17
2022-01-02T11:00:00+03:00,2022-01-02T11:00:00+03:00,6429.28,2684.67,1206.56,909.68,623.66,12.05,133.62,41.09,241.61,550.62,25.72
2022-01-02T12:00:00+03:00,2022-01-02T12:00:00+03:00,6640.94,2948.4,1205.56,755.93,634.25,11.6,132.26,40.86,373.88,530.85,7.35
2022-01-02T13:00:00+03:00,2022-01-02T13:00:00+03:00,6859.09,3109.08,1218.05,798.35,624.47,9.56,133.47,39.74,375.9,543.63,6.84
2022-01-02T14:00:00+03:00,2022-01-02T14:00:00+03:00,7061.36,3296.49,1220.37,856.98,641.49,13.26,130.71,39.33,308.39,547.52,6.82
2022-01-02T15:00:00+03:00,2022-01-02T15:00:00+03:00,7237.59,3459.28,1214.25,982.39,655.97,24.83,129.1,39.1,175.29,550.56,6.82
2022-01-02T16:00:00+03:00,2022-01-02T16:00:00+03:00,7174.2,3691.64,1215.74,768.88,629.42,25.92,106.45,37.99,117.42,573.82,6.92
2022-01-02T17:00:00+03:00,2022-01-02T17:00:00+03:00,6938.89,3607.37,1229.72,652.23,694.6,21.09,106.83,34.88,14.04,570.72,7.41
2022-01-02T18:00:00+03:00,2022-01-02T18:00:00+03:00,7047.06,3617.6,1238.67,732.74,726.08,20.71,105.78,37.56,0.0,560.5,7.42
2022-01-02T19:00:00+03:00,2022-01-02T19:00:00+03:00,6956.05,3419.83,1247.42,739.11,796.55,17.75,125.01,40.41,0.0,562.66,7.31
2022-01-02T20:00:00+03:00,2022-01-02T20:00:00+03:00,6671.07,3349.91,1252.55,494.52,798.94,17.55,130.8,40.83,0.0,579.05,6.92
2022-01-02T21:00:00+03:00,2022-01-02T21:00:00+03:00,6458.09,3179.51,1260.98,497.56,749.45,16.64,126.97,40.44,0.0,580.92,5.62
2022-01-02T22:00:00+03:00,2022-01-02T22:00:00+03:00,6487.57,3113.47,1267.18,508.8,768.47,78.73,126.49,38.61,0.0,580.21,5.61
2022-01-02T23:00:00+03:00,2022-01-02T23:00:00+03:00,6232.49,3051.51,1270.7,392.57,742.48,26.17,127.89,42.71,0.0,572.84,5.62
2022-01-03T00:00:00+03:00,2022-01-03T00:00:00+03:00,5966.4,2989.0,1272.71,267.26,695.58,13.52,126.88,41.92,0.0,548.13,11.4
2022-01-03T01:00:00+03:00,2022-01-03T01:00:00+03:00,5915.77,2843.3,1272.63,343.5,668.55,59.37,128.8,41.48,0.0,546.82,11.32
2022-01-03T02:00:00+03:00,2022-01-03T02:00:00+03:00,5777.08,2793.87,1282.11,319.45,599.8,59.37,129.04,40.31,0.0,541.24,11.89
2022-01-03T03:00:00+03:00,2022-01-03T03:00:00+03:00,5531.04,2764.19,1284.48,214.53,539.32,13.38,129.27,39.99,0.0,532.76,13.12
2022-01-03T04:00:00+03:00,2022-01-03T04:00:00+03:00,5426.89,2627.6,1285.53,250.85,525.32,13.16,118.9,40.16,0.0,552.45,12.92
2022-01-03T05:00:00+03:00,2022-01-03T05:00:00+03:00,5546.15,2479.34,1280.0,529.97,514.68,20.67,103.47,40.22,0.0,564.88,12.92
2022-01-03T06:00:00+03:00,2022-01-03T06:00:00+03:00,5890.31,2483.45,1290.64,834.36,533.88,27.61,101.87,40.51,3.42,562.65,11.92
2022-01-03T07:00:00+03:00,2022-01-03T07:00:00+03:00,6520.5,2646.45,1293.25,1230.33,575.97,29.11,103.77,40.6,18.61,568.88,13.53
2022-01-03T08:00:00+03:00,2022-01-03T08:00:00+03:00,6161.42,2668.35,1292.98,671.37,644.25,26.63,112.6,40.4,105.32,570.48,29.04
2022-01-03T09:00:00+03:00,2022-01-03T09:00:00+03:00,6658.28,2679.11,1278.34,719.17,703.13,73.32,131.39,39.14,427.77,577.86,29.05
2022-01-03T10:00:00+03:00,2022-01-03T10:00:00+03:00,6724.88,2634.37,1268.58,593.38,731.84,70.09,133.82,39.18,641.61,583.4,28.61
2022-01-03T11:00:00+03:00,2022-01-03T11:00:00+03:00,6449.22,2449.72,1265.24,564.94,689.28,60.34,132.08,38.47,660.77,574.71,13.67
2022-01-03T12:00:00+03:00,2022-01-03T12:00:00+03:00,6381.69,2417.43,1262.29,551.02,681.14,61.49,132.2,41.04,664.17,564.97,5.94
2022-01-03T13:00:00+03:00,2022-01-03T13:00:00+03:00,6403.22,2400.17,1247.68,636.95,643.02,57.74,131.28,41.52,670.94,567.1,6.82
2022-01-03T14:00:00+03:00,2022-01-03T14:00:00+03:00,6190.14,2302.73,1245.64,555.85,628.01,61.22,127.17,42.02,645.3,574.88,7.32
2022-01-03T15:00:00+03:00,2022-01-03T15:00:00+03:00,6208.94,2452.58,1242.49,529.45,618.85,61.49,128.73,41.21,563.19,563.53,7.42
2022-01-03T16:00:00+03:00,2022-01-03T16:00:00+03:00,6466.76,2554.52,1246.75,901.95,663.17,71.03,127.91,41.64,256.96,572.37,30.46
2022-01-03T17:00:00+03:00,2022-01-03T17:00:00+03:00,6708.12,2829.82,1259.57,997.68,745.92,77.39,128.23,39.65,23.19,576.83,29.84
2022-01-03T18:00:00+03:00,2022-01-03T18:00:00+03:00,6829.32,3346.79,1274.44,750.37,677.74,29.0,129.34,39.97,0.11,563.83,17.73
2022-01-03T19:00:00+03:00,2022-01-03T19:00:00+03:00,7256.04,3680.69,1279.31,808.03,728.78,29.02,129.23,39.98,0.0,554.09,6.91
2022-01-03T20:00:00+03:00,2022-01-03T20:00:00+03:00,6897.6,3857.1,1283.16,334.95,678.74,17.73,129.84,39.96,0.0,549.31,6.81
2022-01-03T21:00:00+03:00,2022-01-03T21:00:00+03:00,6871.63,3852.75,1292.72,274.0,659.74,62.35,130.26,39.61,0.0,554.68,5.52
2022-01-03T22:00:00+03:00,2022-01-03T22:00:00+03:00,7106.88,4008.6,1295.19,352.14,664.8,59.6,127.88,39.69,0.0,552.95,6.03
2022-01-03T23:00:00+03:00,2022-01-03T23:00:00+03:00,7371.62,4149.36,1289.63,467.32,689.18,56.71,127.73,42.3,0.0,543.18,6.21
2022-01-04T00:00:00+03:00,2022-01-04T00:00:00+03:00,6946.04,4142.86,1293.3,183.96,535.1,48.5,126.95,43.21,0.0,558.58,13.58
2022-01-04T01:00:00+03:00,2022-01-04T01:00:00+03:00,6858.05,4107.93,1293.43,176.67,516.49,11.01,127.43,42.54,0.0,569.0,13.55
2022-01-04T02:00:00+03:00,2022-01-04T02:00:00+03:00,6536.14,3828.13,1294.05,176.41,472.79,10.07,127.26,41.41,0.0,572.4,13.62
2022-01-04T03:00:00+03:00,2022-01-04T03:00:00+03:00,6301.42,3625.68,1292.56,155.37,465.41,10.07,127.94,41.63,0.0,569.71,13.05
2022-01-04T04:00:00+03:00,2022-01-04T04:00:00+03:00,6020.24,3308.74,1291.75,195.07,450.61,10.16,128.34,41.24,0.0,581.31,13.02
2022-01-04T05:00:00+03:00,2022-01-04T05:00:00+03:00,5684.59,2994.97,1291.61,200.65,426.41,9.73,127.77,41.17,0.0,579.16,13.12
2022-01-04T06:00:00+03:00,2022-01-04T06:00:00+03:00,5522.66,2748.97,1291.56,215.96,450.81,55.49,127.28,40.27,1.58,577.69,13.05
2022-01-04T07:00:00+03:00,2022-01-04T07:00:00+03:00,5607.23,2638.89,1291.68,428.95,455.61,13.88,127.29,40.53,12.8,584.57,13.03
2022-01-04T08:00:00+03:00,2022-01-04T08:00:00+03:00,5910.23,2478.28,1289.29,679.49,551.29,61.44,127.74,40.08,74.93,569.52,38.17
2022-01-04T09:00:00+03:00,2022-01-04T09:00:00+03:00,5906.08,2080.81,1288.71,848.36,608.2,60.95,130.67,40.1,236.75,569.12,42.41
2022-01-04T10:00:00+03:00,2022-01-04T10:00:00+03:00,5663.0,1772.09,1265.65,777.54,621.38,60.62,130.21,39.1,382.06,575.23,39.12
2022-01-04T11:00:00+03:00,2022-01-04T11:00:00+03:00,5605.66,1551.41,1255.15,753.18,600.49,72.2,132.8,41.88,581.82,576.79,39.94
2022-01-04T12:00:00+03:00,2022-01-04T12:00:00+03:00,5242.99,1435.51,1252.61,607.84,582.14,13.26,133.2,41.98,562.42,581.22,32.81
2022-01-04T13:00:00+03:00,2022-01-04T13:00:00+03:00,5423.06,1570.83,1246.82,648.79,629.79,10.09,132.88,42.15,513.75,591.91,36.05
2022-01-04T14:00:00+03:00,2022-01-04T14:00:00+03:00,5593.76,1742.58,1223.78,650.71,640.68,9.91,131.38,42.04,524.67,586.02,41.99
2022-01-04T15:00:00+03:00,2022-01-04T15:00:00+03:00,5817.85,1923.09,1222.86,748.42,605.16,56.23,129.97,42.32,485.35,583.83,20.62
2022-01-04T16:00:00+03:00,2022-01-04T16:00:00+03:00,6098.19,2134.96,1224.95,1060.23,602.46,65.94,130.33,41.75,226.85,583.41,27.31
2022-01-04T17:00:00+03:00,2022-01-04T17:00:00+03:00,6131.16,2497.47,1237.31,858.6,680.61,71.02,129.07,40.38,12.96,573.68,30.06
2022-01-04T18:00:00+03:00,2022-01-04T18:00:00+03:00,6745.15,3082.5,1250.86,942.02,632.77,80.18,128.62,41.28,0.19,567.81,18.92
2022-01-04T19:00:00+03:00,2022-01-04T19:00:00+03:00,7000.77,3550.49,1254.88,683.24,682.02,65.51,129.86,41.38,0.01,574.36,19.02
2022-01-04T20:00:00+03:00,2022-01-04T20:00:00+03:00,6961.78,3912.05,1261.06,286.36,663.44,66.44,129.81,41.58,0.0,582.01,19.03
2022-01-04T21:00:00+03:00,2022-01-04T21:00:00+03:00,7120.92,4241.99,1258.49,213.25,617.89,20.02,131.27,41.28,0.0,577.7,19.03
2022-01-04T22:00:00+03:00,2022-01-04T22:00:00+03:00,7456.09,4527.72,1257.56,204.58,630.44,64.03,130.98,41.2,0.0,580.08,19.5
2022-01-04T23:00:00+03:00,2022-01-04T23:00:00+03:00,7563.49,4752.17,1265.42,147.2,636.06,15.06,127.83,42.39,0.0,558.49,18.87
2022-01-05T00:00:00+03:00,2022-01-05T00:00:00+03:00,7689.26,4901.11,1264.96,156.74,615.62,12.47,127.41,43.01,0.0,541.22,26.72
2022-01-05T01:00:00+03:00,2022-01-05T01:00:00+03:00,7691.17,4920.92,1267.29,149.7,604.51,12.44,127.82,42.94,0.0,539.22,26.33
2022-01-05T02:00:00+03:00,2022-01-05T02:00:00+03:00,7726.7,4974.17,1271.08,150.21,567.76,12.06,128.98,42.12,0.0,553.99,26.33
2022-01-05T03:00:00+03:00,2022-01-05T03:00:00+03:00,7742.98,5031.33,1269.25,146.84,523.58,11.54,129.52,42.08,0.0,562.6,26.24
2022-01-05T04:00:00+03:00,2022-01-05T04:00:00+03:00,7995.85,5267.85,1268.66,146.65,506.24,45.21,129.54,42.1,0.0,563.58,26.02
2022-01-05T05:00:00+03:00,2022-01-05T05:00:00+03:00,8051.9,5406.73,1265.3,144.94,459.8,11.48,129.82,41.91,0.0,565.29,26.63
2022-01-05T06:00:00+03:00,2022-01-05T06:00:00+03:00,8143.02,5463.14,1268.64,157.71,474.95,10.89,128.16,42.16,2.72,568.06,26.59
2022-01-05T07:00:00+03:00,2022-01-05T07:00:00+03:00,8520.82,5579.31,1267.74,365.41,516.47,10.88,128.1,41.85,14.39,570.09,26.58
2022-01-05T08:00:00+03:00,2022-01-05T08:00:00+03:00,9003.58,5659.84,1264.47,479.18,643.96,68.07,129.5,41.43,107.0,569.28,40.85
2022-01-05T09:00:00+03:00,2022-01-05T09:00:00+03:00,9735.62,5900.87,1261.23,540.89,737.17,68.83,128.49,40.8,441.93,578.08,37.33
2022-01-05T10:00:00+03:00,2022-01-05T10:00:00+03:00,9894.13,5970.08,1258.61,535.87,674.08,58.64,128.52,40.06,609.15,582.52,36.6
2022-01-05T11:00:00+03:00,2022-01-05T11:00:00+03:00,10029.65,5925.68,1244.9,705.09,666.39,67.49,130.88,41.88,641.85,579.81,25.68
2022-01-05T12:00:00+03:00,2022-01-05T12:00:00+03:00,9873.06,6017.05,1229.13,605.89,592.46,24.29,132.56,41.87,638.86,571.92,19.03
2022-01-05T13:00:00+03:00,2022-01-05T13:00:00+03:00,9960.8,6161.25,1203.98,595.93,607.84,11.01,131.8,41.21,618.33,569.8,19.65
2022-01-05T14:00:00+03:00,2022-01-05T14:00:00+03:00,9979.64,6191.54,1200.45,582.66,624.3,28.31,131.06,41.56,587.84,572.08,19.84
2022-01-05T15:00:00+03:00,2022-01-05T15:00:00+03:00,9854.09,6113.95,1195.82,641.0,600.34,60.72,131.66,41.73,487.87,562.26,18.74
2022-01-05T16:00:00+03:00,2022-01-05T16:00:00+03:00,9648.22,6060.2,1198.82,719.24,627.49,55.98,131.0,40.86,222.57,568.43,23.63
2022-01-05T17:00:00+03:00,2022-01-05T17:00:00+03:00,9971.5,6077.92,1203.95,1102.65,737.5,76.58,131.29,40.28,14.19,563.46,23.68
2022-01-05T18:00:00+03:00,2022-01-05T18:00:00+03:00,9635.14,6178.97,1206.62,703.66,733.04,68.01,131.76,40.69,0.06,553.16,19.17
2022-01-05T19:00:00+03:00,2022-01-05T19:00:00+03:00,9458.24,6359.15,1223.17,436.83,660.68,37.19,132.66,37.73,0.0,551.67,19.16
2022-01-05T20:00:00+03:00,2022-01-05T20:00:00+03:00,9347.6,6502.54,1224.4,192.79,669.32,14.52,133.53,40.88,0.0,550.06,19.56
2022-01-05T21:00:00+03:00,2022-01-05T21:00:00+03:00,9314.38,6528.07,1222.95,172.95,634.05,12.86,132.46,41.01,0.0,550.56,19.47
2022-01-05T22:00:00+03:00,2022-01-05T22:00:00+03:00,9845.39,6565.35,1229.06,589.49,655.24,70.7,132.54,41.29,0.0,544.52,17.2
2022-01-05T23:00:00+03:00,2022-01-05T23:00:00+03:00,10155.29,6483.74,1232.99,1001.73,653.82,49.49,126.52,42.91,0.0,545.5,18.59
2022-01-06T00:00:00+03:00,2022-01-06T00:00:00+03:00,10384.15,6550.41,1228.99,1171.42,683.74,19.98,124.24,41.81,0.0,544.48,19.08
2022-01-06T01:00:00+03:00,2022-01-06T01:00:00+03:00,10232.21,6390.31,1226.78,1194.62,659.1,20.2,126.26,42.75,0.0,553.09,19.1
2022-01-06T02:00:00+03:00,2022-01-06T02:00:00+03:00,10045.92,6256.37,1233.44,1201.05,602.56,18.18,125.62,41.41,0.0,548.19,19.1
2022-01-06T03:00:00+03:00,2022-01-06T03:00:00+03:00,9921.99,6225.63,1235.7,1135.47,572.75,19.52,126.36,41.2,0.0,546.25,19.11
2022-01-06T04:00:00+03:00,2022-01-06T04:00:00+03:00,10093.31,6370.97,1241.02,1181.17,547.46,18.8,124.49,41.38,0.0,548.42,19.6
2022-01-06T05:00:00+03:00,2022-01-06T05:00:00+03:00,10078.06,6358.88,1235.93,1176.4,551.02,19.03,126.32,41.32,0.0,549.56,19.6
2022-01-06T06:00:00+03:00,2022-01-06T06:00:00+03:00,10146.91,6279.23,1245.28,1287.74,560.27,24.4,125.62,41.74,2.76,560.18,19.69
2022-01-06T07:00:00+03:00,2022-01-06T07:00:00+03:00,10265.81,6005.89,1241.78,1622.28,604.58,34.0,124.04,41.59,16.1,556.37,19.18
2022-01-06T08:00:00+03:00,2022-01-06T08:00:00+03:00,9703.41,6073.34,1242.11,762.24,705.87,59.21,130.8,41.29,108.41,553.51,26.63
2022-01-06T09:00:00+03:00,2022-01-06T09:00:00+03:00,10017.42,6033.43,1242.03,825.15,701.86,59.48,130.7,41.08,407.63,549.46,26.6
2022-01-06T10:00:00+03:00,2022-01-06T10:00:00+03:00,10295.4,5892.44,1234.02,1015.03,737.26,59.55,133.02,40.69,597.55,559.22,26.62
2022-01-06T11:00:00+03:00,2022-01-06T11:00:00+03:00,10940.28,5713.99,1219.95,1889.46,680.22,74.1,131.12,41.95,600.24,562.0,27.25
2022-01-06T12:00:00+03:00,2022-01-06T12:00:00+03:00,10820.58,5748.68,1197.6,1863.69,614.74,36.32,131.09,41.95,590.79,568.7,27.02
2022-01-06T13:00:00+03:00,2022-01-06T13:00:00+03:00,10869.05,5729.41,1189.66,1919.97,634.81,38.07,131.6,41.95,593.98,562.41,27.19
2022-01-06T14:00:00+03:00,2022-01-06T14:00:00+03:00,10591.09,5487.76,1184.85,1821.86,691.14,77.59,127.93,41.08,574.05,558.31,26.52
2022-01-06T15:00:00+03:00,2022-01-06T15:00:00+03:00,9965.42,5168.12,1189.88,1630.73,657.73,77.32,127.67,39.5,488.26,559.68,26.53
2022-01-06T16:00:00+03:00,2022-01-06T16:00:00+03:00,9048.2,4863.38,1196.43,1286.86,652.36,58.15,128.85,40.32,225.35,554.64,41.86
2022-01-06T17:00:00+03:00,2022-01-06T17:00:00+03:00,8928.42,4495.43,1203.48,1685.98,696.57,74.53,123.31,39.84,19.0,548.3,41.98
2022-01-06T18:00:00+03:00,2022-01-06T18:00:00+03:00,8896.59,4470.71,1213.14,1719.38,687.28,60.81,121.78,40.58,0.06,540.82,42.03
2022-01-06T19:00:00+03:00,2022-01-06T19:00:00+03:00,8659.34,4421.68,1223.19,1526.52,698.54,42.73,129.46,41.19,0.0,533.5,42.53
2022-01-06T20:00:00+03:00,2022-01-06T20:00:00+03:00,8012.34,4389.68,1231.88,881.94,739.91,14.2,130.82,41.65,0.0,539.75,42.51
2022-01-06T21:00:00+03:00,2022-01-06T21:00:00+03:00,8579.16,4496.84,1237.88,1442.39,615.44,29.12,130.57,40.63,0.0,550.72,35.57
2022-01-06T22:00:00+03:00,2022-01-06T22:00:00+03:00,8361.21,4431.59,1239.09,1281.25,641.36,29.39,129.67,41.03,0.0,548.5,19.33
2022-01-06T23:00:00+03:00,2022-01-06T23:00:00+03:00,8103.14,4319.78,1240.15,1152.13,644.56,23.26,129.08,42.53,0.0,532.71,18.94
2022-01-07T00:00:00+03:00,2022-01-07T00:00:00+03:00,7529.24,4154.44,1226.65,731.39,635.45,65.76,128.59,42.8,0.0,517.55,26.61
2022-01-07T01:00:00+03:00,2022-01-07T01:00:00+03:00,7333.5,3806.4,1241.31,914.73,609.81,46.99,128.0,42.84,0.0,516.86,26.56
2022-01-07T02:00:00+03:00,2022-01-07T02:00:00+03:00,7125.88,3487.51,1250.06,1084.87,559.93,26.35,129.55,41.75,0.0,519.38,26.48
2022-01-07T03:00:00+03:00,2022-01-07T03:00:00+03:00,6777.33,3168.43,1254.98,1106.73,494.5,26.27,129.54,41.8,0.0,528.09,26.99
2022-01-07T04:00:00+03:00,2022-01-07T04:00:00+03:00,6155.52,2648.89,1254.6,1071.84,431.32,28.05,129.09,41.6,0.0,523.18,26.95
2022-01-07T05:00:00+03:00,2022-01-07T05:00:00+03:00,5582.72,2043.06,1256.4,1111.05,442.9,13.28,128.71,41.73,0.0,518.67,26.92
2022-01-07T06:00:00+03:00,2022-01-07T06:00:00+03:00,4375.53,1706.33,1262.73,217.03,459.34,8.96,128.53,41.82,1.29,523.12,26.38
2022-01-07T07:00:00+03:00,2022-01-07T07:00:00+03:00,4968.46,1733.2,1265.7,753.12,479.98,9.22,127.75,41.8,13.58,517.7,26.41
2022-01-07T08:00:00+03:00,2022-01-07T08:00:00+03:00,5490.36,1788.11,1266.62,999.93,606.61,17.66,132.31,41.5,82.96,512.43,42.23
2022-01-07T09:00:00+03:00,2022-01-07T09:00:00+03:00,6352.92,1802.86,1258.85,1650.34,664.94,57.58,125.18,40.45,212.49,498.22,42.01
2022-01-07T10:00:00+03:00,2022-01-07T10:00:00+03:00,6477.96,1756.64,1243.94,1703.66,679.0,62.03,128.45,40.41,334.75,486.69,42.39
2022-01-07T11:00:00+03:00,2022-01-07T11:00:00+03:00,6383.19,1800.65,1227.96,1472.29,700.42,58.28,127.68,38.38,396.32,518.81,42.4
2022-01-07T12:00:00+03:00,2022-01-07T12:00:00+03:00,6063.16,1756.47,1215.54,1032.13,776.42,55.23,127.53,39.94,483.03,534.46,42.41
2022-01-07T13:00:00+03:00,2022-01-07T13:00:00+03:00,5763.37,1581.63,1215.65,928.51,803.02,55.4,128.39,41.85,448.04,519.08,41.8
2022-01-07T14:00:00+03:00,2022-01-07T14:00:00+03:00,5899.0,1527.72,1225.31,1157.06,760.68,55.48,128.3,41.85,448.55,514.1,39.95
2022-01-07T15:00:00+03:00,2022-01-07T15:00:00+03:00,5839.12,1532.82,1209.33,1126.38,772.04,55.16,128.73,41.95,409.65,522.14,40.92
2022-01-07T16:00:00+03:00,2022-01-07T16:00:00+03:00,5684.86,1616.78,1202.03,1126.36,734.37,57.54,126.25,41.92,201.52,536.03,42.06
2022-01-07T17:00:00+03:00,2022-01-07T17:00:00+03:00,5626.13,1715.71,1219.67,1125.02,761.13,58.55,126.04,40.43,8.51,528.58,42.49
2022-01-07T18:00:00+03:00,2022-01-07T18:00:00+03:00,5634.78,1819.67,1233.76,1033.22,742.17,60.15,125.93,41.28,0.0,536.41,42.19
2022-01-07T19:00:00+03:00,2022-01-07T19:00:00+03:00,5782.38,1913.94,1246.76,1042.4,770.83,60.21,129.06,41.03,0.0,535.86,42.29
2022-01-07T20:00:00+03:00,2022-01-07T20:00:00+03:00,5367.35,1926.44,1274.61,548.32,817.81,45.63,129.71,41.41,0.0,541.54,41.88
2022-01-07T21:00:00+03:00,2022-01-07T21:00:00+03:00,5174.97,1936.57,1269.4,465.38,736.76,11.94,131.86,41.3,0.0,540.15,41.61
2022-01-07T22:00:00+03:00,2022-01-07T22:00:00+03:00,4985.1,2029.51,1269.81,272.43,654.11,9.69,128.26,41.28,0.0,538.17,41.84
2022-01-07T23:00:00+03:00,2022-01-07T23:00:00+03:00,5147.98,2185.09,1265.36,288.97,663.79,11.18,129.67,43.45,0.0,518.77,41.7
2022-01-08T00:00:00+03:00,2022-01-08T00:00:00+03:00,5271.59,2299.86,1266.55,326.09,586.7,55.73,127.59,42.5,0.0,539.73,26.84
2022-01-08T01:00:00+03:00,2022-01-08T01:00:00+03:00,5251.97,2304.13,1276.83,316.03,591.98,32.23,127.46,42.59,0.0,534.03,26.69
2022-01-08T02:00:00+03:00,2022-01-08T02:00:00+03:00,5146.13,2234.63,1280.36,295.04,591.6,9.49,128.89,41.15,0.0,538.07,26.9
